ID,Ref_Code,Strata_Code,Latitude,Longitude,Year1,Year2,Year3,Type1,Type2,Type3
1,1,1,5.554418149,-58.72893375,N/A,N/A,N/A,N/A,N/A,N/A
2,1,1,8.088206239,-60.40923249,N/A,N/A,N/A,N/A,N/A,N/A
3,1,1,0.876531138,-57.26126624,N/A,N/A,N/A,N/A,N/A,N/A
4,1,2,-13.61068928,-73.3139807,N/A,N/A,N/A,N/A,N/A,N/A
5,4,3,-10.47673675,-52.19800197,2010,N/A,N/A,D/ND,N/A,N/A
6,1,1,-10.29563639,-70.58723449,N/A,N/A,N/A,N/A,N/A,N/A
7,1,1,1.819223198,-60.24052888,N/A,N/A,N/A,N/A,N/A,N/A
8,5,5,-11.02381076,-56.82118158,2001,2005,N/A,D/ND,Deforestation,N/A
9,1,1,-6.75878945,-77.31974822,N/A,N/A,N/A,N/A,N/A,N/A
10,1,1,-3.443736557,-77.07747259,N/A,N/A,N/A,N/A,N/A,N/A
11,1,1,-9.349171404,-71.38251301,N/A,N/A,N/A,N/A,N/A,N/A
12,1,1,-3.012545221,-52.5796063,N/A,N/A,N/A,N/A,N/A,N/A
13,1,1,-14.34317556,-68.08551626,N/A,N/A,N/A,N/A,N/A,N/A
14,1,1,-11.21730787,-73.1646807,N/A,N/A,N/A,N/A,N/A,N/A
15,1,1,1.633002439,-57.83933212,N/A,N/A,N/A,N/A,N/A,N/A
16,1,7,-2.891542152,-69.62648629,N/A,N/A,N/A,N/A,N/A,N/A
17,4,3,-6.70704649,-48.71020305,1999,2005,N/A,D/ND,D/ND,N/A
18,1,1,1.606052981,-65.93899188,N/A,N/A,N/A,N/A,N/A,N/A
19,1,1,-4.525218328,-69.51249008,N/A,N/A,N/A,N/A,N/A,N/A
20,1,1,2.341503704,-74.39600146,N/A,N/A,N/A,N/A,N/A,N/A
21,1,1,-3.66957302,-54.23753699,N/A,N/A,N/A,N/A,N/A,N/A
22,1,1,-4.123401901,-65.48597149,N/A,N/A,N/A,N/A,N/A,N/A
23,2,7,-8.343687106,-49.91376587,N/A,N/A,N/A,N/A,N/A,N/A
24,1,1,0.499508214,-60.8318,N/A,N/A,N/A,N/A,N/A,N/A
25,1,1,-1.147642691,-70.35816409,N/A,N/A,N/A,N/A,N/A,N/A
26,2,7,-11.86247791,-61.08593339,N/A,N/A,N/A,N/A,N/A,N/A
27,3,3,-2.463315256,-57.9253009,2013,N/A,N/A,Deforestation,N/A,N/A
28,1,1,-0.127066697,-77.66038937,N/A,N/A,N/A,N/A,N/A,N/A
29,1,1,-2.177920491,-62.20918682,N/A,N/A,N/A,N/A,N/A,N/A
30,3,5,-2.813658217,-45.46063734,2008,N/A,N/A,Deforestation,N/A,N/A
31,1,1,-2.330184931,-62.8823843,N/A,N/A,N/A,N/A,N/A,N/A
32,1,1,-0.132456589,-75.74724731,N/A,N/A,N/A,N/A,N/A,N/A
33,1,1,-15.30149831,-68.10977077,N/A,N/A,N/A,N/A,N/A,N/A
34,1,1,4.438710566,-63.66311011,N/A,N/A,N/A,N/A,N/A,N/A
35,1,1,-5.69374685,-56.24688862,N/A,N/A,N/A,N/A,N/A,N/A
36,3,4,-7.804428441,-50.16628229,1997,N/A,N/A,Deforestation,N/A,N/A
37,1,1,-9.031706782,-57.18742472,N/A,N/A,N/A,N/A,N/A,N/A
38,1,1,3.34159811,-54.39438284,N/A,N/A,N/A,N/A,N/A,N/A
39,1,1,-4.813577534,-64.34654838,N/A,N/A,N/A,N/A,N/A,N/A
40,3,4,-12.13251148,-54.66926732,2004,N/A,N/A,Deforestation,N/A,N/A
41,1,1,-8.433698298,-60.61970776,N/A,N/A,N/A,N/A,N/A,N/A
42,4,3,-8.528021403,-51.52588248,2008,2010,N/A,D/ND,D/ND,N/A
43,1,1,1.762090346,-63.24189008,N/A,N/A,N/A,N/A,N/A,N/A
44,1,1,-11.80857899,-67.99038467,N/A,N/A,N/A,N/A,N/A,N/A
45,3,4,-3.58845515,-49.44888771,1995,N/A,N/A,Deforestation,N/A,N/A
46,1,1,-8.340453171,-69.218202,N/A,N/A,N/A,N/A,N/A,N/A
47,3,5,-9.667444509,-66.09422077,2001,N/A,N/A,Deforestation,N/A,N/A
48,3,5,4.154663273,-61.47427509,2006,N/A,N/A,Deforestation,N/A,N/A
49,1,1,-5.203266704,-64.61253954,N/A,N/A,N/A,N/A,N/A,N/A
50,6,1,-0.900516157,-51.77462598,N/A,N/A,N/A,N/A,N/A,N/A
51,1,1,-4.608492155,-76.81175093,N/A,N/A,N/A,N/A,N/A,N/A
52,1,1,-5.050732769,-72.3438002,N/A,N/A,N/A,N/A,N/A,N/A
53,5,4,-11.15532411,-57.33160433,2000,2005,N/A,Deforestation,D/ND,N/A
54,1,1,-7.758614362,-62.66139874,N/A,N/A,N/A,N/A,N/A,N/A
55,1,1,5.452549196,-59.24717184,N/A,N/A,N/A,N/A,N/A,N/A
56,1,1,-6.854460028,-74.68597764,N/A,N/A,N/A,N/A,N/A,N/A
